Date,Close/Last,Volume,Open,High,Low
01/12/2021,56.58,27620,55.56,56.78,56.43
01/11/2021,55.66,32305,56.21,56.28,54.98
01/08/2021,55.99,329,54.46,56.3,56.07
01/07/2021,54.38,12746,54.14,54.9,53.94
01/06/2021,54.3,248,53.59,54.26,53.99
01/05/2021,53.6,61765,50.74,53.88,52.66
01/04/2021,51.09,560,51.66,50.8,50.62
12/31/2020,51.8,17725,51.51,51.91,50.9
12/30/2020,51.34,278,51.05,51.52,51.05
12/29/2020,51.09,1398,51.06,51.63,50.87
12/28/2020,50.86,3682,51.2,52.02,50.52
12/24/2020,51.29,618,51.1,51.39,51.13
12/23/2020,51.2,114,49.8,51.19,51.1
12/22/2020,50.08,21329,50.9,50.93,49.56
12/21/2020,50.91,95,52.31,50.87,50.69
12/18/2020,52.26,556,51.45,52.35,52.08
12/17/2020,51.5,9423,51.08,51.88,51.01
12/16/2020,51.08,144,50.72,51.13,50.99
12/15/2020,50.76,22900,50.33,50.88,49.79
12/14/2020,50.29,169,50.06,50.39,50.24
12/11/2020,49.97,199,50.34,50.03,49.88
12/10/2020,50.25,30075,48.98,51.07,48.86
12/09/2020,48.86,14021,48.83,49.54,48.38
12/08/2020,48.84,25625,48.68,49,48.11
12/07/2020,48.79,206,49.23,48.76,48.6
12/04/2020,49.25,25,48.82,49.08,49.05
12/03/2020,48.71,44,48.08,48.82,48.71
12/02/2020,48.25,34530,47.14,48.52,47.79
12/01/2020,47.42,31369,47.7,48.3,46.89
11/30/2020,47.59,303,47.75,47.95,46.85
11/27/2020,48.18,11298,48.9,49.07,47.36
11/25/2020,48.61,10311,47.86,49.05,47.6
11/24/2020,47.86,233,45.84,47.93,47.72
11/23/2020,46.06,29627,45.13,45.9,45.77
11/20/2020,44.96,314,44.22,45.17,45.01
11/19/2020,44.2,25080,44.16,44.42,44.19
11/18/2020,44.34,27952,43.78,44.3,44.13
11/17/2020,43.75,13303,43.9,44.23,43.08
11/16/2020,43.82,232,42.73,44.01,43.84
11/13/2020,42.78,33729,43.33,43.34,42.63
11/12/2020,43.53,36004,43.78,44.48,43.28
11/11/2020,43.8,2624,43.96,44.32,43.65
11/10/2020,43.61,41318,42.13,44.07,43.54
11/09/2020,42.4,262,39.7,42.36,41.98
11/06/2020,39.45,32655,40.77,40.78,39.33
11/05/2020,40.93,30612,41.17,40.75,40.63
11/04/2020,41.23,177,40.15,41.25,41.04
11/03/2020,39.71,268,39.22,40.22,39.86
11/02/2020,38.97,1044,37.42,39.34,39.1
10/30/2020,37.46,103,37.62,37.49,37.32
10/29/2020,37.65,140,39.32,37.84,37.56
10/28/2020,39.12,19846,40.71,39.31,38.74
10/27/2020,41.2,11302,40.52,41.47,40.4
10/26/2020,40.46,14413,41.63,41.63,40.22
10/23/2020,41.77,1964,42.44,41.93,41.61
10/22/2020,42.46,27628,41.72,42.79,41.47
10/21/2020,41.73,29817,42.82,43.04,41.46
10/20/2020,43.16,187,42.43,43,42.67
10/19/2020,42.62,13901,42.74,43.22,42.37
